cdm_id,fy1c_norad_id,other_norad_id,other_name,other_type,miss_distance_km,collision_probability,fy_perigee,fy_apogee,fy_inclination,other_perigee,other_apogee,other_inclination,other_country
1397356107,30503,41410,NOAA 16 DEB,DEBRIS,311.0,0.0001779331,832.071,843.811,99.1937,810.123,837.732,98.6953,US
1396976777,30503,41410,NOAA 16 DEB,DEBRIS,311.0,0.000156376,832.071,843.811,99.1937,810.123,837.732,98.6953,US
1396391841,30503,41410,NOAA 16 DEB,DEBRIS,120.0,0.000138343,832.071,843.811,99.1937,810.123,837.732,98.6953,US
1400693183,30234,41138,NOAA 16 DEB,DEBRIS,70.0,0.0008859209,787.439,883.068,98.6292,793.64,812.168,98.7004,US
1400076238,30234,41138,NOAA 16 DEB,DEBRIS,150.0,0.0002032457,787.439,883.068,98.6292,793.64,812.168,98.7004,US
1397010636,30661,54604,CZ-6A DEB,DEBRIS,128.0,0.0004287439,717.51,924.674,99.4933,822.636,895.381,98.8534,PRC
1397381151,30661,54604,CZ-6A DEB,DEBRIS,128.0,0.0002249728,717.51,924.674,99.4933,822.636,895.381,98.8534,PRC
1396373319,30661,54604,CZ-6A DEB,DEBRIS,68.0,0.001086377,717.51,924.674,99.4933,822.636,895.381,98.8534,PRC
1396085265,30661,54604,CZ-6A DEB,DEBRIS,123.0,0.0006333683,717.51,924.674,99.4933,822.636,895.381,98.8534,PRC
1400056402,30465,24903,IRIDIUM 26,PAYLOAD,78.0,0.00127145,763.329,784.007,98.8228,765.219,768.597,86.3954,US
1399566915,30465,24903,IRIDIUM 26,PAYLOAD,163.0,0.0008076602,763.329,784.007,98.8228,765.219,768.597,86.3954,US
1398946521,30465,24903,IRIDIUM 26,PAYLOAD,202.0,0.0009901031,763.329,784.007,98.8228,765.219,768.597,86.3954,US
1398012374,30465,24903,IRIDIUM 26,PAYLOAD,234.0,0.0009927287,763.329,784.007,98.8228,765.219,768.597,86.3954,US
1396372863,30465,24903,IRIDIUM 26,PAYLOAD,331.0,0.0007611967,763.329,784.007,98.8228,765.219,768.597,86.3954,US
1396950204,30465,24903,IRIDIUM 26,PAYLOAD,339.0,0.000773109,763.329,784.007,98.8228,765.219,768.597,86.3954,US
1397336168,30465,24903,IRIDIUM 26,PAYLOAD,348.0,0.0006264983,763.329,784.007,98.8228,765.219,768.597,86.3954,US
1400711368,31512,49478,NOAA 17 DEB,DEBRIS,261.0,0.0001026849,641.283,846.405,98.7943,669.11,673.284,98.848,US
1399549698,36647,20527,COSMOS 2061,PAYLOAD,652.0,0.0002307021,756.025,1100.423,96.1211,967.887,1014.19,82.9392,CIS
1400067462,36647,20527,COSMOS 2061,PAYLOAD,483.0,0.0002721611,756.025,1100.423,96.1211,967.887,1014.19,82.9392,CIS
1401417864,36647,20527,COSMOS 2061,PAYLOAD,315.0,0.0003454785,756.025,1100.423,96.1211,967.887,1014.19,82.9392,CIS
1401898858,36647,20527,COSMOS 2061,PAYLOAD,278.0,0.0003386103,756.025,1100.423,96.1211,967.887,1014.19,82.9392,CIS
1400684772,36647,20527,COSMOS 2061,PAYLOAD,67.0,0.0007407155,756.025,1100.423,96.1211,967.887,1014.19,82.9392,CIS
1401932645,47007,41045,NOAA 16 DEB,DEBRIS,105.0,0.0001625848,728.257,1069.401,98.2022,832.712,853.218,98.4515,US
1401426159,47007,41045,NOAA 16 DEB,DEBRIS,94.0,0.0001597073,728.257,1069.401,98.2022,832.712,853.218,98.4515,US
